home_team,away_team,year,week,total_home_score,total_away_score
NYG,LA,2000,11,24.0,38.0
PHI,ARI,2000,12,34.0,9.0
SF,ATL,2000,12,16.0,6.0
KC,BUF,2000,12,17.0,21.0
MIN,CAR,2000,12,31.0,17.0
NE,CIN,2000,12,16.0,13.0
TEN,CLE,2000,12,24.0,10.0
BAL,DAL,2000,12,27.0,0.0
NYG,DET,2000,12,21.0,31.0
GB,IND,2000,12,26.0,24.0
PIT,JAX,2000,12,24.0,34.0
MIA,NYJ,2000,12,3.0,20.0
NO,LV,2000,12,22.0,31.0
DEN,LAC,2000,12,38.0,37.0
CHI,TB,2000,12,13.0,10.0
LA,WAS,2000,12,20.0,33.0
LV,ATL,2000,13,41.0,14.0
TB,BUF,2000,13,31.0,17.0
NYJ,CHI,2000,13,17.0,10.0
BAL,CLE,2000,13,44.0,7.0
SEA,DEN,2000,13,31.0,38.0
CAR,GB,2000,13,31.0,14.0
LAC,KC,2000,13,17.0,16.0
IND,MIA,2000,13,14.0,17.0
DAL,MIN,2000,13,15.0,27.0
DET,NE,2000,13,34.0,9.0
LA,NO,2000,13,24.0,31.0
ARI,NYG,2000,13,7.0,31.0
WAS,PHI,2000,13,20.0,23.0
CIN,PIT,2000,13,28.0,48.0
JAX,TEN,2000,13,16.0,13.0
CIN,ARI,2000,14,24.0,13.0
JAX,CLE,2000,14,48.0,0.0
TB,DAL,2000,14,27.0,7.0
NO,DEN,2000,14,23.0,38.0
MIN,DET,2000,14,24.0,17.0
CHI,GB,2000,14,6.0,28.0
NYJ,IND,2000,14,27.0,17.0
NE,KC,2000,14,30.0,24.0
BUF,MIA,2000,14,6.0,33.0
WAS,NYG,2000,14,7.0,9.0
PIT,LV,2000,14,21.0,20.0
ATL,SEA,2000,14,10.0,30.0
LAC,SF,2000,14,17.0,45.0
CAR,LA,2000,14,16.0,3.0
PHI,TEN,2000,14,13.0,15.0
JAX,ARI,2000,15,44.0,10.0
IND,BUF,2000,15,44.0,20.0
KC,CAR,2000,15,15.0,14.0
TEN,CIN,2000,15,35.0,3.0
GB,DET,2000,15,26.0,13.0
LA,MIN,2000,15,40.0,29.0
CHI,NE,2000,15,24.0,17.0
SF,NO,2000,15,27.0,31.0
LV,NYJ,2000,15,31.0,7.0
CLE,PHI,2000,15,24.0,35.0
NYG,PIT,2000,15,30.0,10.0
BAL,LAC,2000,15,24.0,3.0
DEN,SEA,2000,15,31.0,24.0
MIA,TB,2000,15,13.0,16.0
DAL,WAS,2000,15,32.0,13.0
NO,ATL,2000,16,23.0,7.0
ARI,BAL,2000,16,7.0,13.0
SF,CHI,2000,16,17.0,0.0
KC,DEN,2000,16,20.0,7.0
NYJ,DET,2000,16,7.0,10.0
MIN,GB,2000,16,28.0,33.0
MIA,IND,2000,16,13.0,20.0
CIN,JAX,2000,16,17.0,14.0
BUF,NE,2000,16,10.0,13.0
DAL,NYG,2000,16,13.0,17.0
SEA,LV,2000,16,27.0,24.0
CAR,LAC,2000,16,30.0,22.0
TB,LA,2000,16,38.0,35.0
CLE,TEN,2000,16,0.0,24.0
PIT,WAS,2000,16,24.0,3.0
WAS,ARI,2000,17,20.0,3.0
SEA,BUF,2000,17,23.0,42.0
LV,CAR,2000,17,52.0,9.0
DET,CHI,2000,17,20.0,23.0
PHI,CIN,2000,17,16.0,7.0
TEN,DAL,2000,17,31.0,0.0
NYG,JAX,2000,17,28.0,25.0
ATL,KC,2000,17,29.0,13.0
NE,MIA,2000,17,24.0,27.0
IND,MIN,2000,17,31.0,10.0
BAL,NYJ,2000,17,34.0,20.0
LAC,PIT,2000,17,21.0,34.0
DEN,SF,2000,17,38.0,9.0
NO,LA,2000,17,21.0,26.0
GB,TB,2000,17,17.0,14.0
BAL,DEN,2000,18,21.0,3.0
MIA,IND,2000,18,23.0,17.0
NO,LA,2000,18,31.0,28.0
PHI,TB,2000,18,21.0,3.0
TEN,BAL,2000,19,10.0,24.0
LV,MIA,2000,19,27.0,0.0
MIN,NO,2000,19,34.0,16.0
NYG,PHI,2000,19,20.0,10.0
LV,BAL,2000,20,3.0,16.0
NYG,MIN,2000,20,41.0,0.0
NYG,BAL,2000,21,7.0,34.0
SF,ATL,2001,1,16.0,13.0
MIN,CAR,2001,1,13.0,24.0
BAL,CHI,2001,1,17.0,6.0
GB,DET,2001,1,28.0,6.0
NYJ,IND,2001,1,24.0,45.0
TEN,MIA,2001,1,23.0,31.0
CIN,NE,2001,1,23.0,17.0
BUF,NO,2001,1,6.0,24.0
DEN,NYG,2001,1,31.0,20.0
KC,LV,2001,1,24.0,27.0
JAX,PIT,2001,1,21.0,3.0
CLE,SEA,2001,1,6.0,9.0
PHI,LA,2001,1,17.0,20.0
DAL,TB,2001,1,6.0,10.0
LAC,WAS,2001,1,30.0,3.0
CIN,BAL,2001,2,21.0,10.0
IND,BUF,2001,2,42.0,26.0
ATL,CAR,2001,2,24.0,16.0
ARI,DEN,2001,2,17.0,38.0
CLE,DET,2001,2,24.0,14.0
CHI,MIN,2001,2,17.0,10.0
KC,NYG,2001,2,3.0,13.0
NE,NYJ,2001,2,3.0,10.0
MIA,LV,2001,2,18.0,15.0
SEA,PHI,2001,2,3.0,27.0
DAL,LAC,2001,2,21.0,32.0
SF,LA,2001,2,26.0,30.0
JAX,TEN,2001,2,13.0,6.0
GB,WAS,2001,2,37.0,0.0
ARI,ATL,2001,3,14.0,34.0
DEN,BAL,2001,3,13.0,20.0
LAC,CIN,2001,3,28.0,14.0
JAX,CLE,2001,3,14.0,23.0
PHI,DAL,2001,3,40.0,18.0
CAR,GB,2001,3,7.0,28.0
NE,IND,2001,3,44.0,13.0
WAS,KC,2001,3,13.0,45.0
LA,MIA,2001,3,42.0,10.0
NYG,NO,2001,3,21.0,13.0
BUF,PIT,2001,3,3.0,20.0
LV,SEA,2001,3,38.0,14.0
NYJ,SF,2001,3,17.0,19.0
MIN,TB,2001,3,20.0,16.0
PHI,ARI,2001,4,20.0,21.0
SF,CAR,2001,4,24.0,14.0
ATL,CHI,2001,4,3.0,31.0
PIT,CIN,2001,4,16.0,7.0
LV,DAL,2001,4,28.0,21.0
TB,GB,2001,4,14.0,10.0
SEA,JAX,2001,4,24.0,15.0
DEN,KC,2001,4,20.0,6.0
NO,MIN,2001,4,28.0,15.0
MIA,NE,2001,4,30.0,10.0
BUF,NYJ,2001,4,36.0,42.0
CLE,LAC,2001,4,20.0,16.0
DET,LA,2001,4,0.0,35.0
BAL,TEN,2001,4,26.0,7.0
NYG,WAS,2001,4,23.0,9.0
CHI,ARI,2001,5,20.0,13.0
GB,BAL,2001,5,31.0,23.0
CIN,CLE,2001,5,24.0,14.0
SEA,DEN,2001,5,34.0,21.0
MIN,DET,2001,5,31.0,26.0
NYJ,MIA,2001,5,21.0,17.0
CAR,NO,2001,5,25.0,27.0
LA,NYG,2001,5,15.0,14.0
IND,LV,2001,5,18.0,23.0
KC,PIT,2001,5,17.0,20.0
NE,LAC,2001,5,29.0,26.0
ATL,SF,2001,5,31.0,37.0
TEN,TB,2001,5,31.0,28.0
DAL,WAS,2001,5,9.0,7.0
NO,ATL,2001,6,13.0,20.0
CLE,BAL,2001,6,24.0,14.0
JAX,BUF,2001,6,10.0,13.0
WAS,CAR,2001,6,17.0,14.0
CIN,CHI,2001,6,0.0,24.0
LAC,DEN,2001,6,27.0,10.0
MIN,GB,2001,6,35.0,13.0
ARI,KC,2001,6,24.0,16.0
IND,NE,2001,6,17.0,38.0
NYG,PHI,2001,6,9.0,10.0
TB,PIT,2001,6,10.0,17.0
NYJ,LA,2001,6,14.0,34.0
DET,TEN,2001,6,24.0,27.0
DAL,ARI,2001,7,17.0,3.0
LAC,BUF,2001,7,27.0,24.0
DET,CIN,2001,7,27.0,31.0
KC,IND,2001,7,28.0,35.0
BAL,JAX,2001,7,18.0,17.0
SEA,MIA,2001,7,20.0,24.0
TB,MIN,2001,7,41.0,14.0
DEN,NE,2001,7,31.0,20.0
LA,NO,2001,7,31.0,34.0
WAS,NYG,2001,7,35.0,21.0
CAR,NYJ,2001,7,12.0,13.0
PHI,LV,2001,7,10.0,20.0
CHI,SF,2001,7,37.0,31.0
PIT,TEN,2001,7,34.0,7.0
PIT,BAL,2001,8,10.0,13.0
MIA,CAR,2001,8,23.0,6.0
CHI,CLE,2001,8,27.0,21.0
NYG,DAL,2001,8,27.0,24.0
LV,DEN,2001,8,38.0,28.0
SF,DET,2001,8,21.0,13.0
BUF,IND,2001,8,14.0,30.0
TEN,JAX,2001,8,28.0,24.0
LAC,KC,2001,8,20.0,25.0
ATL,NE,2001,8,10.0,24.0
NO,NYJ,2001,8,9.0,16.0
ARI,PHI,2001,8,7.0,21.0
WAS,SEA,2001,8,27.0,14.0
GB,TB,2001,8,21.0,20.0
TEN,BAL,2001,9,10.0,16.0
NE,BUF,2001,9,21.0,11.0
LA,CAR,2001,9,48.0,14.0
JAX,CIN,2001,9,30.0,13.0
ATL,DAL,2001,9,20.0,13.0
CHI,GB,2001,9,12.0,20.0
NYJ,KC,2001,9,27.0,7.0
IND,MIA,2001,9,24.0,27.0
PHI,MIN,2001,9,48.0,17.0
SF,NO,2001,9,28.0,27.0
ARI,NYG,2001,9,10.0,17.0
SEA,LV,2001,9,34.0,27.0
CLE,PIT,2001,9,12.0,15.0
DEN,LAC,2001,9,26.0,16.0
DET,TB,2001,9,17.0,20.0
GB,ATL,2001,10,20.0,23.0
TB,CHI,2001,10,24.0,27.0
BAL,CLE,2001,10,17.0,27.0
ARI,DET,2001,10,45.0,38.0
NO,IND,2001,10,34.0,20.0
PIT,JAX,2001,10,20.0,7.0
MIN,NYG,2001,10,28.0,16.0
MIA,NYJ,2001,10,0.0,24.0
DAL,PHI,2001,10,3.0,36.0
LV,LAC,2001,10,34.0,24.0
BUF,SEA,2001,10,20.0,23.0
CAR,SF,2001,10,22.0,25.0
NE,LA,2001,10,17.0,24.0
CIN,TEN,2001,10,7.0,20.0
DEN,WAS,2001,10,10.0,17.0
LAC,ARI,2001,11,17.0,20.0
CAR,ATL,2001,11,7.0,10.0
JAX,BAL,2001,11,21.0,24.0
MIN,CHI,2001,11,6.0,13.0
CLE,CIN,2001,11,18.0,0.0
DAL,DEN,2001,11,24.0,26.0
DET,GB,2001,11,27.0,29.0
BUF,MIA,2001,11,27.0,34.0
NE,NO,2001,11,34.0,17.0
NYG,LV,2001,11,10.0,28.0
TEN,PIT,2001,11,24.0,34.0
KC,SEA,2001,11,19.0,7.0
IND,SF,2001,11,21.0,40.0
LA,TB,2001,11,17.0,24.0
PHI,WAS,2001,11,3.0,13.0
LV,ARI,2001,12,31.0,34.0
SF,BUF,2001,12,35.0,0.0
NO,CAR,2001,12,27.0,23.0
WAS,DAL,2001,12,14.0,20.0
MIA,DEN,2001,12,21.0,10.0
CHI,DET,2001,12,13.0,10.0
JAX,GB,2001,12,21.0,28.0
BAL,IND,2001,12,39.0,27.0
PIT,MIN,2001,12,21.0,16.0
NYJ,NE,2001,12,16.0,17.0
KC,PHI,2001,12,10.0,23.0
SEA,LAC,2001,12,13.0,10.0
ATL,LA,2001,12,6.0,35.0
CIN,TB,2001,12,13.0,16.0
CLE,TEN,2001,12,15.0,31.0
BUF,CAR,2001,13,25.0,24.0
GB,CHI,2001,13,17.0,7.0
NE,CLE,2001,13,27.0,16.0
TB,DET,2001,13,15.0,12.0
MIA,IND,2001,13,41.0,6.0
CIN,JAX,2001,13,10.0,14.0
LV,KC,2001,13,28.0,26.0
ATL,NO,2001,13,10.0,28.0
DAL,NYG,2001,13,20.0,13.0
PIT,NYJ,2001,13,18.0,7.0
PHI,LAC,2001,13,24.0,14.0
DEN,SEA,2001,13,20.0,7.0
LA,SF,2001,13,27.0,14.0
MIN,TEN,2001,13,42.0,24.0
ARI,WAS,2001,13,10.0,20.0
NYG,ARI,2001,14,17.0,13.0
IND,ATL,2001,14,41.0,27.0
NYJ,CIN,2001,14,15.0,14.0
SEA,DAL,2001,14,29.0,3.0
KC,DEN,2001,14,26.0,23.0
TEN,GB,2001,14,26.0,20.0
CLE,JAX,2001,14,10.0,15.0
SF,MIA,2001,14,21.0,0.0
DET,MIN,2001,14,27.0,24.0
BUF,NE,2001,14,9.0,12.0
LAC,LV,2001,14,6.0,13.0
WAS,PHI,2001,14,6.0,20.0
BAL,PIT,2001,14,21.0,26.0
NO,LA,2001,14,21.0,34.0
CHI,TB,2001,14,27.0,3.0
ATL,BUF,2001,15,33.0,30.0
WAS,CHI,2001,15,15.0,20.0
BAL,CIN,2001,15,16.0,0.0
GB,CLE,2001,15,30.0,7.0
ARI,DAL,2001,15,17.0,10.0
PIT,DET,2001,15,47.0,14.0
MIN,JAX,2001,15,3.0,33.0
NE,MIA,2001,15,20.0,13.0
TB,NO,2001,15,48.0,21.0
IND,NYJ,2001,15,28.0,29.0
SF,PHI,2001,15,13.0,3.0
KC,LAC,2001,15,20.0,17.0
NYG,SEA,2001,15,27.0,24.0
CAR,LA,2001,15,32.0,38.0
LV,TEN,2001,15,10.0,13.0
CAR,ARI,2001,16,7.0,30.0
MIA,ATL,2001,16,21.0,14.0
TB,BAL,2001,16,22.0,10.0
NYJ,BUF,2001,16,9.0,14.0
DET,CHI,2001,16,0.0,24.0
TEN,CLE,2001,16,38.0,41.0
LA,IND,2001,16,42.0,17.0
JAX,KC,2001,16,26.0,30.0
GB,MIN,2001,16,24.0,13.0
PHI,NYG,2001,16,24.0,21.0
DEN,LV,2001,16,23.0,17.0
CIN,PIT,2001,16,26.0,23.0
LAC,SEA,2001,16,22.0,25.0
DAL,SF,2001,16,27.0,21.0
NO,WAS,2001,16,10.0,40.0
WAS,ARI,2001,17,20.0,17.0
LA,ATL,2001,17,31.0,13.0
MIA,BUF,2001,17,34.0,7.0
TEN,CIN,2001,17,21.0,23.0
PIT,CLE,2001,17,28.0,7.0
DET,DAL,2001,17,15.0,10.0
IND,DEN,2001,17,29.0,10.0
NYG,GB,2001,17,25.0,34.0
CHI,JAX,2001,17,33.0,13.0
SEA,KC,2001,17,21.0,18.0
BAL,MIN,2001,17,19.0,3.0
CAR,NE,2001,17,6.0,38.0
LV,NYJ,2001,17,22.0,24.0
TB,PHI,2001,17,13.0,17.0
NO,SF,2001,17,0.0,38.0
MIA,BAL,2001,18,3.0,20.0
LV,NYJ,2001,18,38.0,24.0
GB,SF,2001,18,25.0,15.0
PHI,TB,2001,18,31.0,9.0
PIT,BAL,2001,19,27.0,10.0
LA,GB,2001,19,45.0,17.0
NE,LV,2001,19,16.0,13.0
CHI,PHI,2001,19,19.0,33.0
PIT,NE,2001,20,17.0,24.0
LA,PHI,2001,20,29.0,24.0
NE,LA,2001,21,20.0,17.0
WAS,ARI,2002,1,31.0,23.0
GB,ATL,2002,1,37.0,34.0
CAR,BAL,2002,1,10.0,7.0
HOU,DAL,2002,1,19.0,10.0
MIA,DET,2002,1,49.0,21.0
JAX,IND,2002,1,25.0,28.0
CLE,KC,2002,1,39.0,40.0
CHI,MIN,2002,1,27.0,23.0
TB,NO,2002,1,20.0,26.0
BUF,NYJ,2002,1,31.0,37.0
TEN,PHI,2002,1,27.0,24.0
NE,PIT,2002,1,30.0,14.0
CIN,LAC,2002,1,6.0,34.0
LV,SEA,2002,1,31.0,17.0
NYG,SF,2002,1,13.0,16.0
DEN,LA,2002,1,23.0,16.0
SEA,ARI,2002,2,13.0,24.0
MIN,BUF,2002,2,39.0,45.0
ATL,CHI,2002,2,13.0,14.0
CLE,CIN,2002,2,20.0,7.0
SF,DEN,2002,2,14.0,24.0
CAR,DET,2002,2,31.0,7.0
NO,GB,2002,2,35.0,20.0
LAC,HOU,2002,2,24.0,3.0
KC,JAX,2002,2,16.0,23.0
IND,MIA,2002,2,13.0,21.0
NYJ,NE,2002,2,7.0,44.0
LA,NYG,2002,2,21.0,26.0
PIT,LV,2002,2,17.0,30.0
WAS,PHI,2002,2,7.0,37.0
BAL,TB,2002,2,0.0,25.0
DAL,TEN,2002,2,21.0,13.0
DEN,BUF,2002,3,28.0,23.0
MIN,CAR,2002,3,14.0,21.0
ATL,CIN,2002,3,30.0,3.0
TEN,CLE,2002,3,28.0,31.0
PHI,DAL,2002,3,44.0,13.0
DET,GB,2002,3,31.0,37.0
HOU,IND,2002,3,3.0,23.0
NE,KC,2002,3,41.0,38.0
CHI,NO,2002,3,23.0,29.0
MIA,NYJ,2002,3,30.0,3.0
ARI,LAC,2002,3,15.0,23.0
NYG,SEA,2002,3,9.0,6.0
TB,LA,2002,3,26.0,14.0
SF,WAS,2002,3,20.0,10.0
GB,CAR,2002,4,17.0,14.0
BUF,CHI,2002,4,33.0,27.0
PIT,CLE,2002,4,16.0,13.0
LA,DAL,2002,4,10.0,13.0
BAL,DEN,2002,4,34.0,23.0
PHI,HOU,2002,4,35.0,17.0
KC,MIA,2002,4,48.0,30.0
SEA,MIN,2002,4,48.0,23.0
LAC,NE,2002,4,21.0,14.0
DET,NO,2002,4,26.0,21.0
ARI,NYG,2002,4,21.0,7.0
JAX,NYJ,2002,4,28.0,3.0
CIN,TB,2002,4,7.0,35.0
LV,TEN,2002,4,52.0,25.0
CAR,ARI,2002,5,13.0,16.0
CLE,BAL,2002,5,21.0,26.0
IND,CIN,2002,5,28.0,21.0
CHI,GB,2002,5,21.0,34.0
NYJ,KC,2002,5,25.0,29.0
MIA,NE,2002,5,26.0,13.0
DAL,NYG,2002,5,17.0,21.0
BUF,LV,2002,5,31.0,49.0
JAX,PHI,2002,5,28.0,25.0
NO,PIT,2002,5,32.0,29.0
DEN,LAC,2002,5,26.0,9.0
SF,LA,2002,5,37.0,13.0
ATL,TB,2002,5,6.0,20.0
TEN,WAS,2002,5,14.0,31.0
NYG,ATL,2002,6,10.0,17.0
IND,BAL,2002,6,22.0,20.0
HOU,BUF,2002,6,24.0,31.0
DAL,CAR,2002,6,14.0,13.0
TB,CLE,2002,6,17.0,3.0
MIN,DET,2002,6,31.0,24.0
NE,GB,2002,6,10.0,28.0
TEN,JAX,2002,6,23.0,14.0
LAC,KC,2002,6,35.0,34.0
DEN,MIA,2002,6,22.0,24.0
WAS,NO,2002,6,27.0,43.0
LA,LV,2002,6,28.0,13.0
CIN,PIT,2002,6,7.0,34.0
SEA,SF,2002,6,21.0,28.0
MIA,BUF,2002,7,10.0,23.0
ATL,CAR,2002,7,30.0,0.0
DET,CHI,2002,7,23.0,20.0
ARI,DAL,2002,7,9.0,6.0
KC,DEN,2002,7,34.0,37.0
CLE,HOU,2002,7,34.0,17.0
PIT,IND,2002,7,28.0,10.0
BAL,JAX,2002,7,17.0,10.0
NYJ,MIN,2002,7,20.0,7.0
LV,LAC,2002,7,21.0,27.0
LA,SEA,2002,7,37.0,20.0
NO,SF,2002,7,35.0,27.0
PHI,TB,2002,7,20.0,10.0
GB,WAS,2002,7,30.0,9.0
SF,ARI,2002,8,38.0,28.0
NO,ATL,2002,8,35.0,37.0
MIN,CHI,2002,8,25.0,7.0
NYJ,CLE,2002,8,21.0,24.0
NE,DEN,2002,8,16.0,24.0
BUF,DET,2002,8,24.0,17.0
JAX,HOU,2002,8,19.0,21.0
WAS,IND,2002,8,26.0,21.0
PHI,NYG,2002,8,17.0,3.0
KC,LV,2002,8,20.0,10.0
BAL,PIT,2002,8,18.0,31.0
DAL,SEA,2002,8,14.0,17.0
CAR,TB,2002,8,9.0,12.0
CIN,TEN,2002,8,24.0,30.0
ATL,BAL,2002,9,20.0,17.0
HOU,CIN,2002,9,3.0,38.0
DET,DAL,2002,9,9.0,7.0
NYG,JAX,2002,9,24.0,17.0
GB,MIA,2002,9,24.0,10.0
TB,MIN,2002,9,38.0,24.0
BUF,NE,2002,9,7.0,38.0
LAC,NYJ,2002,9,13.0,44.0
CHI,PHI,2002,9,13.0,19.0
CLE,PIT,2002,9,20.0,23.0
LV,SF,2002,9,20.0,23.0
ARI,LA,2002,9,14.0,27.0
IND,TEN,2002,9,15.0,23.0
SEA,WAS,2002,9,3.0,14.0
PIT,ATL,2002,10,34.0,34.0
BAL,CIN,2002,10,38.0,27.0
GB,DET,2002,10,40.0,14.0
TEN,HOU,2002,10,17.0,10.0
PHI,IND,2002,10,13.0,35.0
SF,KC,2002,10,17.0,13.0
NYJ,MIA,2002,10,13.0,10.0
CHI,NE,2002,10,30.0,33.0
CAR,NO,2002,10,24.0,34.0
MIN,NYG,2002,10,20.0,27.0
DEN,LV,2002,10,10.0,34.0
LA,LAC,2002,10,28.0,24.0
ARI,SEA,2002,10,6.0,27.0
JAX,WAS,2002,10,26.0,7.0
PHI,ARI,2002,11,38.0,14.0
MIA,BAL,2002,11,26.0,7.0
KC,BUF,2002,11,17.0,16.0
TB,CAR,2002,11,23.0,10.0
LA,CHI,2002,11,21.0,16.0
CIN,CLE,2002,11,20.0,27.0
IND,DAL,2002,11,20.0,3.0
SEA,DEN,2002,11,9.0,31.0
MIN,GB,2002,11,31.0,21.0
HOU,JAX,2002,11,21.0,24.0
LV,NE,2002,11,27.0,20.0
ATL,NO,2002,11,24.0,17.0
DET,NYJ,2002,11,14.0,31.0
TEN,PIT,2002,11,31.0,23.0
LAC,SF,2002,11,20.0,17.0
NYG,WAS,2002,11,19.0,17.0
CAR,ATL,2002,12,0.0,41.0
NYJ,BUF,2002,12,31.0,13.0
PIT,CIN,2002,12,29.0,21.0
NO,CLE,2002,12,15.0,24.0
CHI,DET,2002,12,20.0,17.0
TB,GB,2002,12,21.0,7.0
DEN,IND,2002,12,20.0,23.0
