game_id,game_date,year,week,home_team,away_team,home_qb,away_qb,home_qb_epa,away_qb_epa,home_qb_snaps,away_qb_snaps,home_def_epa,away_def_epa,total_home_score,total_away_score
2000_02_STL_SEA,2000-09-10,2000,2,SEA,LA,J.Kitna,K.Warner,0.12872574169444442,0.22958662222916668,36,48,-0.22958662222916668,-0.12872574169444442,34.0,37.0
2000_02_WAS_DET,2000-09-10,2000,2,DET,WAS,C.Batch,B.Johnson,-0.34040307,-0.23044313438888894,32,36,0.23044313438888894,0.34040307,15.0,10.0
2000_03_ATL_CAR,2000-09-17,2000,3,CAR,ATL,S.Beuerlein,C.Chandler,-0.3488273573255814,-0.19945993832258066,43,31,0.19945993832258066,0.3488273573255814,10.0,15.0
2000_03_BAL_MIA,2000-09-17,2000,3,MIA,BAL,J.Fiedler,T.Banks,0.3144434070588235,-0.2586473076052631,17,38,0.2586473076052631,-0.3144434070588235,19.0,6.0
2000_03_BUF_NYJ,2000-09-17,2000,3,NYJ,BUF,V.Testaverde,R.Johnson,0.00937921765624998,0.17898343065,32,40,-0.17898343065,-0.00937921765624998,27.0,14.0
2000_03_CIN_JAX,2000-09-17,2000,3,JAX,CIN,M.Brunell,A.Smith,-0.10573159339459459,-0.40578967204347827,37,46,0.40578967204347827,0.10573159339459459,13.0,0.0
2000_03_DAL_WAS,2000-09-18,2000,3,WAS,DAL,B.Johnson,R.Cunningham,-0.17595362985769233,0.12540539692307687,52,26,-0.12540539692307687,0.17595362985769233,21.0,27.0
2000_03_DEN_OAK,2000-09-17,2000,3,LV,DEN,R.Gannon,B.Griese,-0.22360685576923078,0.3846528564516129,26,31,-0.3846528564516129,0.22360685576923078,24.0,33.0
2000_03_MIN_NE,2000-09-17,2000,3,NE,MIN,D.Bledsoe,D.Culpepper,-0.130677654075,0.18354390243589747,40,39,-0.18354390243589747,0.130677654075,13.0,21.0
2000_03_NO_SEA,2000-09-17,2000,3,SEA,NO,J.Kitna,J.Blake,0.1533337408529412,0.05286236370370372,34,27,-0.05286236370370372,-0.1533337408529412,20.0,10.0
2000_03_NYG_CHI,2000-09-17,2000,3,CHI,NYG,C.McNown,K.Collins,-0.05005656958974361,0.2505239954166667,39,36,-0.2505239954166667,0.05005656958974361,7.0,14.0
2000_03_PHI_GB,2000-09-17,2000,3,GB,PHI,B.Favre,D.McNabb,-0.20340595202702702,-0.2816293461111111,37,36,0.2816293461111111,0.20340595202702702,6.0,3.0
2000_03_PIT_CLE,2000-09-17,2000,3,CLE,PIT,T.Couch,K.Graham,0.34425828609375,-0.112211836,32,30,0.112211836,-0.34425828609375,23.0,20.0
2000_03_SF_STL,2000-09-17,2000,3,LA,SF,K.Warner,J.Garcia,0.2792874981764706,0.36608992705882354,34,34,-0.36608992705882354,-0.2792874981764706,41.0,24.0
2000_03_TB_DET,2000-09-17,2000,3,DET,TB,C.Batch,S.King,-0.10301997804878049,0.3982249332333333,41,30,-0.3982249332333333,0.10301997804878049,10.0,31.0
2000_04_CIN_BAL,2000-09-24,2000,4,BAL,CIN,T.Banks,S.Mitchell,0.30757196400000003,-0.54636244992,35,25,0.54636244992,-0.30757196400000003,37.0,0.0
2000_04_CLE_OAK,2000-09-24,2000,4,LV,CLE,R.Gannon,T.Couch,0.29216244302083333,-0.30681901924193555,24,31,0.30681901924193555,-0.29216244302083333,36.0,10.0
2000_04_DET_CHI,2000-09-24,2000,4,CHI,DET,C.McNown,C.Batch,-0.22671629361111106,-0.036165968461538474,36,39,0.036165968461538474,0.22671629361111106,14.0,21.0
2000_04_GB_ARI,2000-09-24,2000,4,ARI,GB,J.Plummer,B.Favre,-0.2701946446860465,0.4763515640625,43,32,-0.4763515640625,0.2701946446860465,3.0,29.0
2000_04_JAX_IND,2000-09-25,2000,4,IND,JAX,P.Manning,M.Brunell,0.6982589402222222,-0.16675019703333335,36,45,0.16675019703333335,-0.6982589402222222,43.0,14.0
2000_04_KC_DEN,2000-09-24,2000,4,DEN,KC,G.Frerotte,E.Grbac,-0.22190761012121207,0.1745162502857143,33,35,-0.1745162502857143,0.22190761012121207,22.0,23.0
2000_04_NE_MIA,2000-09-24,2000,4,MIA,NE,J.Fiedler,D.Bledsoe,-0.18011412499999999,-0.07235219914285715,26,35,0.07235219914285715,0.18011412499999999,10.0,3.0
2000_04_NYJ_TB,2000-09-24,2000,4,TB,NYJ,S.King,V.Testaverde,-0.39166255761904767,-0.24335410265909088,21,44,0.24335410265909088,0.39166255761904767,17.0,21.0
2000_04_PHI_NO,2000-09-24,2000,4,NO,PHI,J.Blake,D.McNabb,-0.3577106894444444,0.0643195704102564,45,39,-0.0643195704102564,0.3577106894444444,7.0,21.0
2000_04_SEA_SD,2000-09-24,2000,4,LAC,SEA,R.Leaf,J.Kitna,-0.3717845473333333,0.07108609384615386,27,26,-0.07108609384615386,0.3717845473333333,12.0,20.0
2000_04_SF_DAL,2000-09-24,2000,4,DAL,SF,T.Aikman,J.Garcia,-0.2152024582666667,0.66824783,27,28,-0.66824783,0.2152024582666667,24.0,41.0
2000_04_STL_ATL,2000-09-24,2000,4,ATL,LA,C.Chandler,K.Warner,-0.14717946156097558,0.906032045,41,22,-0.906032045,0.14717946156097558,20.0,41.0
2000_04_TEN_PIT,2000-09-24,2000,4,PIT,TEN,K.Graham,N.O'Donnell,0.006871482430555536,0.0617078859259259,36,27,-0.0617078859259259,-0.006871482430555536,20.0,23.0
2000_04_WAS_NYG,2000-09-24,2000,4,NYG,WAS,K.Collins,B.Johnson,-0.06859840437500002,0.9821076309523809,48,21,-0.9821076309523809,0.06859840437500002,6.0,16.0
2000_05_ARI_SF,2000-10-01,2000,5,SF,ARI,J.Garcia,J.Plummer,0.05849921031176471,0.049141395243902444,34,41,-0.049141395243902444,-0.05849921031176471,27.0,20.0
2000_05_ATL_PHI,2000-10-01,2000,5,PHI,ATL,D.McNabb,C.Chandler,0.3375095351176471,-0.4004670702777778,51,36,0.4004670702777778,-0.3375095351176471,38.0,10.0
2000_05_BAL_CLE,2000-10-01,2000,5,CLE,BAL,T.Couch,T.Banks,-0.17954986824242428,0.04445744214285715,33,35,-0.04445744214285715,0.17954986824242428,0.0,12.0
2000_05_CHI_GB,2000-10-01,2000,5,GB,CHI,B.Favre,C.McNown,-0.078372248738,0.36866405052000006,50,25,-0.36866405052000006,0.078372248738,24.0,27.0
2000_05_DAL_CAR,2000-10-01,2000,5,CAR,DAL,S.Beuerlein,T.Aikman,-0.1292080690909091,-0.10001707788461536,33,26,0.10001707788461536,0.1292080690909091,13.0,16.0
2000_05_IND_BUF,2000-10-01,2000,5,BUF,IND,R.Johnson,P.Manning,-0.15574813213414634,0.30544747890322577,41,31,-0.30544747890322577,0.15574813213414634,16.0,18.0
2000_05_MIA_CIN,2000-10-01,2000,5,CIN,MIA,A.Smith,J.Fiedler,-0.122885027425,0.39451995020833336,40,24,-0.39451995020833336,0.122885027425,16.0,31.0
2000_05_MIN_DET,2000-10-01,2000,5,DET,MIN,C.Batch,D.Culpepper,-0.22726702588372094,0.48201837166666667,43,30,-0.48201837166666667,0.22726702588372094,24.0,31.0
2000_05_NE_DEN,2000-10-01,2000,5,DEN,NE,B.Griese,D.Bledsoe,0.024783987563636374,0.5265034374137931,55,29,-0.5265034374137931,-0.024783987563636374,19.0,28.0
2000_05_NYG_TEN,2000-10-01,2000,5,TEN,NYG,S.McNair,K.Collins,0.58763847965,0.0612878602631579,40,38,-0.0612878602631579,-0.58763847965,28.0,14.0
2000_05_PIT_JAX,2000-10-01,2000,5,JAX,PIT,M.Brunell,K.Stewart,-0.5375824093,0.19733820245454545,40,22,-0.19733820245454545,0.5375824093,13.0,24.0
2000_05_SD_STL,2000-10-01,2000,5,LA,LAC,K.Warner,J.Harbaugh,0.566261509375,0.23630509914285716,32,42,-0.23630509914285716,-0.566261509375,57.0,31.0
