global_timestamp,previous_timestamp,next_timestamp,id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,h2h,2025-01-11T10:55:30Z,Houston Texans,134,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,h2h,2025-01-11T10:55:30Z,Los Angeles Chargers,-158,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,spreads,2025-01-11T10:55:30Z,Houston Texans,-120,3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,spreads,2025-01-11T10:55:30Z,Los Angeles Chargers,-102,-3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,totals,2025-01-11T10:55:30Z,Over,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,fanduel,FanDuel,2025-01-11T10:55:30Z,totals,2025-01-11T10:55:30Z,Under,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,h2h,2025-01-11T10:55:29Z,Houston Texans,130,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,h2h,2025-01-11T10:55:29Z,Los Angeles Chargers,-155,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,spreads,2025-01-11T10:55:29Z,Houston Texans,100,2.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,spreads,2025-01-11T10:55:29Z,Los Angeles Chargers,-120,-2.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,totals,2025-01-11T10:55:29Z,Over,-108,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,draftkings,DraftKings,2025-01-11T10:55:29Z,totals,2025-01-11T10:55:29Z,Under,-112,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,h2h,2025-01-11T10:55:29Z,Houston Texans,140,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,h2h,2025-01-11T10:55:29Z,Los Angeles Chargers,-160,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,spreads,2025-01-11T10:55:29Z,Houston Texans,-123,3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,spreads,2025-01-11T10:55:29Z,Los Angeles Chargers,103,-3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,totals,2025-01-11T10:55:29Z,Over,-105,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betonlineag,BetOnline.ag,2025-01-11T10:55:29Z,totals,2025-01-11T10:55:29Z,Under,-115,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,h2h,2025-01-11T10:55:31Z,Houston Texans,140,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,h2h,2025-01-11T10:55:31Z,Los Angeles Chargers,-160,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,spreads,2025-01-11T10:55:31Z,Houston Texans,108,2.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,spreads,2025-01-11T10:55:31Z,Los Angeles Chargers,-119,-2.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,totals,2025-01-11T10:55:31Z,Over,-102,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,lowvig,LowVig.ag,2025-01-11T10:55:31Z,totals,2025-01-11T10:55:31Z,Under,-113,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,h2h,2025-01-11T10:55:30Z,Houston Texans,132,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,h2h,2025-01-11T10:55:30Z,Los Angeles Chargers,-157,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,spreads,2025-01-11T10:55:30Z,Houston Texans,-118,3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,spreads,2025-01-11T10:55:30Z,Los Angeles Chargers,-104,-3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,totals,2025-01-11T10:55:30Z,Over,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betrivers,BetRivers,2025-01-11T10:55:30Z,totals,2025-01-11T10:55:30Z,Under,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,h2h,2025-01-11T10:54:19Z,Houston Texans,128,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,h2h,2025-01-11T10:54:19Z,Los Angeles Chargers,-158,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,spreads,2025-01-11T10:54:19Z,Houston Texans,-115,3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,spreads,2025-01-11T10:54:19Z,Los Angeles Chargers,-105,-3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,totals,2025-01-11T10:54:19Z,Over,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,mybookieag,MyBookie.ag,2025-01-11T10:54:19Z,totals,2025-01-11T10:54:19Z,Under,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,h2h,2025-01-11T10:54:52Z,Houston Texans,130,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,h2h,2025-01-11T10:54:52Z,Los Angeles Chargers,-155,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,spreads,2025-01-11T10:54:52Z,Houston Texans,-115,3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,spreads,2025-01-11T10:54:52Z,Los Angeles Chargers,-105,-3.0
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,totals,2025-01-11T10:54:52Z,Over,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,williamhill_us,Caesars,2025-01-11T10:54:52Z,totals,2025-01-11T10:54:52Z,Under,-110,41.5
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betmgm,BetMGM,2025-01-11T10:54:52Z,h2h,2025-01-11T10:54:52Z,Houston Texans,135,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betmgm,BetMGM,2025-01-11T10:54:52Z,h2h,2025-01-11T10:54:52Z,Los Angeles Chargers,-160,
2025-01-11T10:55:38Z,2025-01-11T10:50:38Z,2025-01-11T11:00:38Z,03dd880f071a65053e37000d3d826e14,americanfootball_nfl,NFL,2025-01-11T21:31:00Z,Houston Texans,Los Angeles Chargers,betmgm,BetMGM,2025-01-11T10:54:52Z,spreads,2025-01-11T10:54:52Z,Houston Texans,-115,3.0
