global_timestamp,previous_timestamp,next_timestamp,id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,outcome_name,outcome_price,outcome_point
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,h2h,2024-09-16T10:54:17Z,Atlanta Falcons,198,
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,h2h,2024-09-16T10:54:17Z,Philadelphia Eagles,-240,
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,spreads,2024-09-16T10:54:17Z,Atlanta Falcons,-110,5.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,spreads,2024-09-16T10:54:17Z,Philadelphia Eagles,-110,-5.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,totals,2024-09-16T10:54:17Z,Over,-105,46.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,fanduel,FanDuel,2024-09-16T10:54:17Z,totals,2024-09-16T10:54:17Z,Under,-115,46.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,h2h,2024-09-16T10:55:35Z,Atlanta Falcons,200,
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,h2h,2024-09-16T10:55:35Z,Philadelphia Eagles,-250,
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,spreads,2024-09-16T10:55:35Z,Atlanta Falcons,-110,5.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,spreads,2024-09-16T10:55:35Z,Philadelphia Eagles,-110,-5.5
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,totals,2024-09-16T10:55:35Z,Over,-112,46.0
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,betrivers,BetRivers,2024-09-16T10:55:35Z,totals,2024-09-16T10:55:35Z,Under,-109,46.0
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,draftkings,DraftKings,2024-09-16T10:54:53Z,h2h,2024-09-16T10:54:53Z,Atlanta Falcons,200,
2024-09-16T10:55:38Z,2024-09-16T10:50:38Z,2024-09-16T11:00:38Z,2cefb0f9bcf18ed3f64396174ece14ad,americanfootball_nfl,NFL,2024-09-17T00:15:00Z,Philadelphia Eagles,Atlanta Falcons,draftkings,DraftKings,2024-09-16T10:54:53Z,h2h,2024-09-16T10:54:53Z,Philadelphia Eagles,-245,
